500 2500
74 50 0.200000
74 21 0.125000
74 398 0.250000
74 368 0.200000
74 378 0.333333
74 209 0.333333
74 4 0.250000
50 416 0.250000
50 66 0.200000
376 153 0.090909
376 159 0.200000
376 433 0.111111
376 105 0.125000
376 121 0.250000
376 236 0.100000
153 406 0.500000
153 211 0.333333
377 260 0.200000
377 15 0.250000
377 308 0.200000
260 35 0.250000
260 484 0.111111
260 57 0.090909
260 28 0.125000
260 227 0.200000
124 179 0.125000
124 493 0.142857
124 35 0.250000
124 216 0.333333
124 438 0.166667
179 330 0.111111
179 376 0.166667
179 87 0.166667
179 359 0.250000
25 196 0.090909
25 304 0.125000
25 216 0.333333
25 376 0.166667
196 87 0.166667
196 224 0.250000
196 219 0.200000
196 413 0.200000
237 147 0.333333
237 380 0.200000
237 184 0.333333
237 47 0.166667
237 13 0.125000
237 142 0.100000
237 70 0.142857
237 78 0.500000
237 299 0.333333
147 4 0.250000
147 63 0.200000
147 44 0.250000
147 219 0.200000
147 230 0.142857
147 68 0.333333
147 405 0.250000
147 270 0.111111
147 393 0.333333
147 110 0.090909
445 12 0.142857
445 375 0.142857
445 48 0.083333
445 499 0.166667
445 38 0.200000
445 87 0.166667
445 230 0.142857
12 495 0.142857
12 343 0.125000
12 217 0.100000
12 248 0.250000
111 168 0.125000
111 13 0.125000
111 101 0.333333
168 99 0.166667
168 237 0.333333
431 451 0.125000
431 217 0.100000
431 479 0.200000
431 102 0.142857
431 235 0.142857
431 310 0.166667
451 481 0.250000
451 188 0.142857
35 459 0.090909
35 221 0.250000
35 180 0.250000
35 28 0.125000
35 382 0.125000
35 223 0.142857
35 44 0.250000
35 464 0.200000
35 381 0.100000
35 141 0.200000
459 81 0.125000
459 43 0.500000
459 276 0.111111
459 408 0.142857
459 390 0.250000
459 97 0.100000
459 40 0.250000
146 135 0.250000
146 151 0.333333
146 182 0.250000
146 479 0.200000
146 342 0.166667
146 168 0.125000
135 23 0.142857
135 411 0.166667
135 244 0.500000
135 234 0.250000
135 400 0.111111
135 436 0.333333
138 212 0.250000
138 218 0.250000
138 471 0.333333
138 68 0.333333
138 196 0.090909
138 24 0.333333
212 461 0.333333
212 115 0.200000
212 419 0.166667
212 166 0.166667
212 159 0.200000
212 458 0.200000
277 42 0.166667
277 56 0.200000
277 373 0.333333
277 459 0.090909
42 148 0.166667
42 227 0.200000
42 200 0.166667
42 494 0.111111
42 123 0.200000
42 75 0.125000
42 233 0.100000
42 28 0.125000
435 331 0.500000
435 21 0.125000
435 286 0.142857
435 46 0.333333
435 116 0.250000
435 456 0.200000
435 261 0.125000
331 260 0.200000
